Num Threads,Input File,Executable,Avg Execution Time (ms)
8,numbers_16384.txt,OMP_DFT_vanilla.exe,4551.0668
8,numbers_262144.txt,OMP_DFT_optimized.exe,59773.0
8,numbers_262144.txt,OMP_DFT_vanilla.exe,84.0
9,numbers_1024.txt,OMP_DFT_optimized.exe,222974.848
9,numbers_1024.txt,OMP_DFT_vanilla.exe,19036.0
9,numbers_1048576.txt,OMP_FFT.exe,34.3143
9,numbers_131072.txt,OMP_DFT_optimized.exe,1471003.2087
9,numbers_131072.txt,OMP_DFT_vanilla.exe,709.3946
9,numbers_134217728.txt,OMP_FFT.exe,56.401
9,numbers_16384.txt,OMP_DFT_optimized.exe,390820.0249
9,numbers_16384.txt,OMP_DFT_vanilla.exe,4321.2106
9,numbers_262144.txt,OMP_DFT_optimized.exe,57929.1274
9,numbers_262144.txt,OMP_DFT_vanilla.exe,82.395
