Num Execution,Num Threads,Input File,Execution Time (ms),Executable
1,1,data/numbers_134217728.txt,59773,OMP_FFT.exe
1,2,data/numbers_134217728.txt,35518,OMP_FFT.exe
1,3,data/numbers_134217728.txt,29080,OMP_FFT.exe
1,4,data/numbers_134217728.txt,24410,OMP_FFT.exe
1,5,data/numbers_134217728.txt,22091,OMP_FFT.exe
1,6,data/numbers_134217728.txt,20684,OMP_FFT.exe
1,7,data/numbers_134217728.txt,19830,OMP_FFT.exe
1,8,data/numbers_134217728.txt,19036,OMP_FFT.exe
1,9,data/numbers_134217728.txt,18267,OMP_FFT.exe
1,10,data/numbers_134217728.txt,18024,OMP_FFT.exe
1,11,data/numbers_134217728.txt,17535,OMP_FFT.exe
1,12,data/numbers_134217728.txt,17113,OMP_FFT.exe
1,13,data/numbers_134217728.txt,16836,OMP_FFT.exe
1,14,data/numbers_134217728.txt,16722,OMP_FFT.exe
1,15,data/numbers_134217728.txt,16275,OMP_FFT.exe
1,16,data/numbers_134217728.txt,16015,OMP_FFT.exe
1,17,data/numbers_134217728.txt,15829,OMP_FFT.exe
1,18,data/numbers_134217728.txt,15760,OMP_FFT.exe
1,19,data/numbers_134217728.txt,15624,OMP_FFT.exe
1,20,data/numbers_134217728.txt,15341,OMP_FFT.exe
1,1,data/numbers_1048576.txt,295,OMP_FFT.exe
1,2,data/numbers_1048576.txt,165,OMP_FFT.exe
1,3,data/numbers_1048576.txt,119,OMP_FFT.exe
1,4,data/numbers_1048576.txt,89,OMP_FFT.exe
1,5,data/numbers_1048576.txt,81,OMP_FFT.exe
1,6,data/numbers_1048576.txt,84,OMP_FFT.exe
1,7,data/numbers_1048576.txt,78,OMP_FFT.exe
1,8,data/numbers_1048576.txt,72,OMP_FFT.exe
1,9,data/numbers_1048576.txt,75,OMP_FFT.exe
1,10,data/numbers_1048576.txt,68,OMP_FFT.exe
1,11,data/numbers_1048576.txt,69,OMP_FFT.exe
1,12,data/numbers_1048576.txt,69,OMP_FFT.exe
1,13,data/numbers_1048576.txt,63,OMP_FFT.exe
1,14,data/numbers_1048576.txt,61,OMP_FFT.exe
1,15,data/numbers_1048576.txt,62,OMP_FFT.exe
1,16,data/numbers_1048576.txt,58,OMP_FFT.exe
1,17,data/numbers_1048576.txt,58,OMP_FFT.exe
1,18,data/numbers_1048576.txt,61,OMP_FFT.exe
1,19,data/numbers_1048576.txt,63,OMP_FFT.exe
1,20,data/numbers_1048576.txt,65,OMP_FFT.exe
